id,entryDate,account,entity,period,amount,currency,counterparty,reference,description,posted
GL-1001,2026-08-01,1010,ACME-US,2026-08,1520.00,USD,Northwind Retail,RCPT-1001,Customer receipt,true
GL-1002,2026-08-02,1010,ACME-US,2026-08,-825.40,USD,Metro Office,INV-MO-441,Office supplies,true
GL-1003,2026-08-03,1010,ACME-US,2026-08,2400.00,USD,Bluebird Labs,RCPT-1003,Customer receipt,true
GL-1004,2026-08-04,1010,ACME-US,2026-08,-1160.00,USD,Harbor Telecom,INV-HT-773,Telecom payment,true
GL-1005,2026-08-05,1010,ACME-US,2026-08,975.25,USD,Atlas Foods,RCPT-1005,Customer receipt,true
GL-1006,2026-08-06,1010,ACME-US,2026-08,-430.10,USD,City Utilities,INV-CU-118,Utility payment,true
GL-1008,2026-08-09,1010,ACME-US,2026-08,3125.00,USD,Evergreen Stores,RCPT-1008,Customer receipt,true
GL-1010,2026-08-12,1010,ACME-US,2026-08,-704.00,USD,Signal Hosting,INV-SH-902,Hosting payment,true
GL-1012,2026-08-13,1010,ACME-US,2026-08,1880.75,USD,Riverstone Co,RCPT-1012,Customer receipt,true
GL-1013,2026-08-14,1010,ACME-US,2026-08,-560.00,USD,Paper Trail LLC,INV-PT-311,Printing payment,true
GL-1015,2026-08-17,1010,ACME-US,2026-08,4275.00,USD,Keystone Market,RCPT-1015,Customer receipt,true
GL-1017,2026-08-19,1010,ACME-US,2026-08,-990.50,USD,Vector Security,INV-VS-887,Security payment,true
GL-1018,2026-08-20,1010,ACME-US,2026-08,1333.33,USD,Juniper Works,RCPT-1018,Customer receipt,true
GL-1020,2026-08-22,1010,ACME-US,2026-08,-2250.00,USD,Redwood Leasing,INV-RL-552,Lease payment,true
GL-1021,2026-08-24,1010,ACME-US,2026-08,680.00,USD,Sunfield Media,RCPT-1021,Customer receipt,true
GL-1022,2026-08-25,1010,ACME-US,2026-08,-1499.99,USD,Cloud Nine Ltd,INV-CN-730,Software payment,true
GL-1023,2026-08-27,1010,ACME-US,2026-08,2050.00,USD,Orchard Systems,RCPT-1023,Customer receipt,true
GL-2201,2026-08-14,2100,ACME-US,2026-08,8628.00,USD,Lyra GmbH,INV-LG-2291,Invoice liability,true
GL-2210,2026-08-11,2100,ACME-US,2026-08,3250.00,USD,Peakline Supply,INV-3390,Invoice liability,true
GL-2118,2026-07-29,1010,ACME-US,2026-07,-6120.00,USD,Vantage Freight,CHK-10442,Issued check,true
GL-2302,2026-08-21,2100,ACME-US,2026-08,5371.00,USD,Meridian Cloud SARL,INV-MC-118,Invoice liability,true
GL-2377,2026-08-29,2100,ACME-US,2026-08,2438.00,USD,Halden Werke,INV-HW-903,Invoice liability,true
